APA Tenant,HasPay,Segment,Industry,Sub Industry,ERP,Medius Territory,Sum of Employees,Capture License Type,Sum of APA License utilization,AP Automation,Sum of ACV (USD),Sum of Number of Locations,ActivatedModules,ActiveSubsidiaries,ActiveUsers,AvgCommentsPerDocument,AvgCompletedTasksPerWeek,AvgInvoicesPerMonth,AvgLinesPerInvoice,AvgOverdueDays,DistinctLanguages,AvgTimeToCompleteTask,TotalArchivedInvoices,OverdueInvoiceCount,MinInvoiceDate,RootCompanyCreatedTimestamp,Account Description
insidetoo,0,Mid-Market,Retail,Apparel & Accessories Retail,Visma Business,Medius Norway,21.0,Medius Capture,49.0,True,1667.65,1.0,6,2,23,1.604538088,412.611111,197.538461,5.506602641,26.949109,2,2.136988,2436,393,11/30/2022 13:29,11/15/2022 14:56,"Inside too represents high-end home interior brands in the Norwegian and Scandinavian market. Our team has proven experience selling and carefully building international lifestyle brands. We pride ourselves in working long term with our suppliers, retail"
inspiredgaming,0,Mid-Market,Computer Software,"Multimedia, Games & Graphics Software",MS Dynamics 365 for Fi&Op,Medius UK,1620.0,Medius Capture,86.0,True,82849.42,6.0,9,16,225,2.216438356,7271.296296,3604.230769,2.637858021,100.073235,1,3.886122,41706,9367,6/19/2023 8:58,1/31/2023 9:24,"Founded in 1970, Inspired Essential Entertainment is headquartered in New York City, New York. They offer a variety of content, technology, hardware and services for regulated gaming, betting, lottery, social and leisure operators across retail and mobil"
inspiresleep,0,Mid-Market,Manufacturing - Non-Durables,Medical Devices & Equipment,MS Dynamics 365 Business Central,Medius North America,1011.0,Medius Capture,47.0,True,48475.44,3.0,8,4,504,1.701978691,2251.777777,975.846153,1.132155019,21.508588,2,0.990341,11782,2969,6/6/2023 17:39,10/25/2022 7:00,Inspire Medical Systems is a developer of a sleep apnea system using neurostimulation technologies and incorporating an algorithm that stimulates key airway muscles based on breathing patterns. Inspire was founded in 2007 and is headquartered in Golden V
insulet,0,Mid-Market,Manufacturing - Non-Durables,Medical Devices & Equipment,MS Dynamics AX,Medius North America,2300.0,Medius Capture,0.0,False,12000.0,7.0,7,3,705,,3.5,,1.0,20.443534,1,,0,0,7/23/2020 14:18,5/9/2020 0:43,"Insulet wants to isolate an insolent disease. The medical device company manufactures an insulin pump for people with insulin-dependent diabetes. Its disposable, waterproof product, called the OmniPod Insulin Management System, weighs a mere 1.2 ounces a"
intergamma,0,Mid-Market,Retail,Home Improvement & Hardware Retail,MS Dynamics 365 for Fi&Op,Medius Benelux,400.0,'-,32.0,True,260689.66,1.0,4,5,30,1.048414023,72988.27778,52880.0,12.81162358,2.662778,2,0.324147,669921,121469,9/4/2023 21:30,6/7/2023 15:01,"Intergamma is a construction market franchise, headquartered in the Netherlands and Belgium. The company provides a full range of services in the field of retail equipment, automation, training and logistics."
interpress,0,Mid-Market,Broadcast Media,Publishing,Epicor iScala,Medius Sweden,78.0,RSO Bulk,89.0,True,9090.14,1.0,9,4,53,1.141285956,825.851851,341.692307,1.01455869,12.178041,4,1.187231,4462,337,6/15/2016 7:44,6/9/2016 13:01,"Svenska Interpress Ab is a company that operates in the Publishing industry. It employs 51-100 people and has $50M-$100M of revenue. The company is headquartered in Hägersten, Sweden."
intersafe,0,Mid-Market,Financial Services,Investment Banking,Infor M3,Medius Benelux,261.0,Medius Capture,47.0,True,80234.02,4.0,8,6,71,2.109637489,4304.592592,1798.76923,5.850670042,39.548805,3,3.134482,22896,1926,1/21/2021 14:20,6/11/2019 7:14,"Intersafe Holding B V is a company that operates in the Wholesale industry. It employs 51-100 people and has $25M-$50M of revenue. The company is headquartered in Dordrecht, South Holland, Netherlands."
intility,0,Mid-Market,Professional Services,Custom Software & IT Services,Visma Global,Medius Norway,432.0,Medius Capture,55.0,True,1761.19,2.0,7,6,119,1.759687034,2001.814814,1039.307692,6.501149937,15.666666,3,2.73442,11631,1464,5/8/2023 13:17,11/17/2022 11:01,"Intility is a managed cloud service offering unlimited and scalable access to compute, storage and network, as well as integrated tools for productivity, security and mobility. The Service represents a next-generation alternative to traditional operating"
intra,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,MS Dynamics AX,Medius Sweden,70.0,Medius Capture,40.0,True,53782.92,1.0,8,5,39,1.468911917,1268.226415,512.230769,2.148362529,15.935091,5,0.881724,5963,493,2/27/2015 11:55,9/22/2014 11:45,"Intra is known for high quality precision design and stainless steel products. The knowledge required to make such products comes from diverse innovations over many decades. Together with the combined know-how of Mölntorp in Sweden and Juvel in Denmark,"
iph,0,Mid-Market,Legal Services,'-,Profit Tool / SAP,Medius Australia,1178.0,'-,67.0,True,187678.35,3.0,8,5,290,2.110787172,1153.466666,419.25,2.555555556,28.061475,1,0.699534,1389,244,12/3/2024 3:53,10/1/2024 4:49,"IPH Limited headquartered in Sydney, Australia, the holding company of AJ Park, Glasshouse Advisory, Griffith Hack, Pizzeys, Practice Insight, Shelston IP, Spruson & Ferguson, and Watermark, is the intellectual property (""IP"") services grou"
ipiccolo,0,Mid-Market,Retail,Office Products Retail & Distribution,Visma Business,Medius Sweden,84.0,Medius Capture,86.0,True,0.0,2.0,7,13,110,1.880226481,3938.055555,1415.461538,3.88704538,11.650681,2,1.208996,17590,1835,6/9/2023 8:13,12/20/2022 12:53,inkClub is serving more than 2 million customers in 14 different European markets. Our Customer Service is solving problems and answering questions through e-mail only. Customer Service will reply to every incoming e-mail swiftly and provide you with a s
iptor,0,Mid-Market,Computer Software,Enterprise Resource Planning (ERP) Software,Iptor DC-1,Medius Benelux,400.0,Medius Capture,66.0,True,61301.17,2.0,9,29,289,1.577187807,1652.87037,536.307692,1.043355185,26.862299,2,2.348119,6735,4045,1/20/2021 18:31,10/8/2020 12:37,"Iptor provides fully integrated enterprise solutions, with highly adaptable and robust software backed by world-class support from distribution and supply chain experts. With its micro-services orientated cloud platforms and the use of smart technologies"
isopartner,0,Mid-Market,Other,Membership Organizations,Visma Business,Medius Sweden,15.0,Medius Capture,30.0,True,3488.41,1.0,8,2,29,1.83127572,904.351851,432.692307,4.350921123,25.721189,3,1.576632,5333,269,11/20/2023 9:47,11/7/2023 12:26,"ISOPARTNER AS er en totalleverandør av teknisk isolasjon til virksomheter innen offshore, marine, industri & vvs og passiv brannsikring.3 grunner til at proffkunder velger Isopartner som leverandør av teknisk isolasjon:Som erfaren innkjøper er du sme"
itm,0,Mid-Market,Pharmaceuticals,Fitness & Dance Facilities,Iptor DC-1,Medius Benelux,424.0,Medius Capture,83.0,True,23843.72,2.0,8,2,266,2.309225575,3554.351851,1067.384615,1.519321187,20.4789,2,2.367763,12470,5782,9/27/2023 12:48,5/4/2022 12:08,"For over a century, the Institute of Tropical Medicine offers a window to the world. Students from over 30 countries specialize in tropical infectious diseases and health care in Antwerp. Their scientists carry out research in laboratories and in the fie"
its,0,Mid-Market,Professional Services,Management Consulting,CargoWise,Medius Sweden,36.0,Medius Capture,83.0,True,24133.79,2.0,8,3,54,1.427044711,3281.574074,1821.538461,2.578629461,13.579905,2,1.537997,21573,2966,5/24/2018 12:55,3/7/2018 7:04,"ITS Independent Transport & Shipping AB is a Swedish owned company established 1986, that offers a full range of world wide transport and logistic related services. ITS also provides an extensive road freight coverage throughout Europe and the Nordic"
iuih,0,Mid-Market,Hospitals / Health Care,Medical Specialists,'-,Medius Australia,664.0,'-,72.0,True,70736.22,1.0,10,2,142,1.79293641,6060.904761,1988.166666,2.742199359,22.887555,1,1.477704,10724,5665,10/23/2024 2:10,8/23/2024 2:04,"The Institute for Urban Indigenous Health leads the planning, development and delivery of comprehensive primary health care services to the Indigenous population of South East Queensland. The Institute was established in 2009 by the four Community Contro"
ivyrehab,0,Mid-Market,Hospitals / Health Care,Medical Specialists,Workday,Medius North America,784.0,'-,19.0,True,70920.96,34.0,8,2,25,1.153333333,6245.857142,1572.666666,1.528762471,18.561511,1,1.922632,3779,3414,1/28/2025 16:24,8/8/2024 16:45,"Founded in 2003, Ivy Rehab is a rapidly growing network of best-in-class outpatient physical, occupational, speech, and ABA therapy clinics. The Ivy Rehab Network consists of multiple brands dedicated to providing exceptional care and personalized treatm"
jardine,0,Mid-Market,Retail,Automobile Dealers,Autoline,Medius UK,3012.0,Medius Capture,0.0,False,0.0,23.0,10,2,648,1.47218145,19821.60377,12412.75,1.001882215,37.608752,1,2.266337,53794,7701,3/3/2021 9:05,4/28/2020 12:00,"Founded in 1969 and based in Buckinghamshire, United Kingdon, Jardine Motors Group is an operator of franchised motorcar dealerships in the United Kingdom with international outlets in Hong Kong, Macau and China."
jarnatra,0,Mid-Market,Retail,Sporting & Recreational Equipment Retail,Visma e-ekonomi,MediusGo Sweden,16.0,Medius Capture,0.0,False,14175.0,1.0,6,4,18,1.0,586.823529,359.25,1.002136752,6.424212,2,1.843318,1522,1016,1/15/2015 14:43,12/17/2014 8:23,"AB Järna Trä & Byggvaror is a company that operates in the Retail industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Jarna, Stockholm, Sweden."
jarnia,0,Mid-Market,Construction,Sporting & Recreational Equipment Retail,Visma Business,Medius Sweden,11.0,'-,0.0,False,0.0,2.0,7,6,24,,,,,20.443534,2,,0,0,3/14/2017 9:18,12/9/2016 7:21,"Järnia AB is a company that operates in the Sporting Goods industry. It employs 21-50 people and has $1M-$5M of revenue. The company is headquartered in Stockholm, Stockholm, Sweden."
jarrolds,0,Mid-Market,Retail,'-,'-,Medius UK,406.0,Medius Capture,76.0,True,48342.58,4.0,9,9,79,1.214003801,4801.555555,2576.76923,5.433989156,29.083686,1,3.265363,28035,9679,2/1/2024 14:26,9/28/2023 11:38,"The men's jackets and coats that we offer at Jarrold, provides you with style and practicality in your everyday life. The designs of the men's jackets that we sell are timeless and are appropriate for a variety of weather conditions. We stock a w"
jasworldwide,0,Enterprise,Logistics / Transportation,Freight & Logistics Services,CargoWise,Medius Sweden,7000.0,RSO Bulk,270.0,True,47760.0,21.0,6,15,909,2.392396806,33066.18519,19774.38462,2.182283364,18.058722,6,2.874195,237402,33786,10/3/2022 12:01,6/22/2022 14:12,"JAS Worldwide provides freight forwarding services. These include air and sea transport, import-export, door to door transport, and intercontinental level transport. Jas Worldwide was founded in 1978 and its global headquarters are located in Atlanta Geo"
jcdecaux,0,Mid-Market,Professional Services,Commercial Printing,SAP,Medius Sweden,72.0,Other,80.0,True,12926.47,1.0,7,3,39,1.520152505,1323.962962,515.0,1.860560182,21.701117,2,0.976564,6326,358,11/2/2016 14:19,2/12/2016 6:41,"JCDecaux Sverige AB is a company that operates in the Marketing and Advertising industry. It employs 51-100 people and has $1M-$5M of revenue. The company is headquartered in Stockholm, Stockholm, Sweden."
jensenhughes,0,Mid-Market,Professional Services,Management Consulting,Deltek Ajera,Medius North America,1500.0,Medius Capture,67.0,True,37602.24,13.0,8,7,1193,1.833766234,2363.16129,848.0,1.000594089,24.690867,1,1.576952,5854,3526,8/16/2024 13:34,2/21/2024 17:51,"Founded in 1939, Jensen Hughes is a company that specializes in engineering consulting services for the built environment offering fire protection systems design and analysis, code consulting, risk-informed engineering, hazard and risk assessments, foren"
jensstransmissioner,0,Mid-Market,Manufacturing - Non-Durables,Industrial Machinery & Equipment,Epicor iScala,Medius Sweden,128.0,Medius Capture,75.0,True,43602.41,2.0,9,6,101,1.735734072,3691.388888,1763.384615,3.332922264,27.228116,4,1.595332,22441,1508,5/18/2020 6:32,4/30/2020 7:22,JENS S. Transmissioner AB deliver transmission solutions in cooperation with world leading manufacturers in all of the Nordic countries. With focus on quality and customer service we offer a wide range with competitive prices. We produce and modify produ
jernia,0,Mid-Market,Retail,'-,Infor M3 Multi-Tenant Cloud,Medius Norway,1902.0,'-,66.0,True,19590.41,2.0,8,3,250,1.481861739,2583.722222,1238.307692,4.284695728,17.912757,2,1.67547,13100,1215,5/30/2016 14:51,1/26/2016 7:59,"Jernia Sønnerheim is a company that operates in the Retail industry. It employs 2,001-5,000 people and has $10M-$25M of revenue. The company is headquartered in Aurland, Norway."
jeskehardware,0,Mid-Market,Retail,Home Improvement & Hardware Retail,Oracle NetSuite,Medius North America,64.0,Medius Capture,67.0,True,26841.96,4.0,10,2,13,1.0,1295.125,428.666666,7.108832808,6.35,1,1.21451,1079,40,1/16/2025 21:04,10/11/2024 16:24,"Jeske Hardware Distributors is a technology-driven wholesale hardware distributor headquartered in Appleton, Wis. Jeske Hardware Distributors sells numerous products, including door locks, bath hardware, door hinges, and cabinet hardware. The companys co"
jetpak,0,Mid-Market,Logistics / Transportation,Freight & Logistics Services,MS Dynamics 365 for Fi&Op,Medius Sweden,238.0,Medius Capture,10.0,True,13608.0,2.0,5,23,293,1.081850534,302.809523,124.4,1.106365834,17.65,3,1.263043,1143,120,6/4/2024 11:20,2/29/2024 9:14,Jetpak is the simplest and fastest option for prioritized door-to-door deliveries. We offer solutions for both spontaneous transport needs and customized logistics. Jetpak is represented in more than 170 locations around the Nordic region and in Europe.
jjtaylor,0,Mid-Market,Retail,"Convenience Stores, Gas Stations & Liquor Stores",EO Star,Medius North America,764.0,Medius Capture,30.0,True,89548.08,8.0,7,3,62,1.181281008,3525.981481,2006.692307,1.575819271,35.492325,2,1.812276,9137,1759,8/21/2020 11:09,4/1/2020 15:41,"JJ Taylor Companies, Inc."
jlindeberg,0,Mid-Market,Retail,Apparel & Accessories Retail,MS Dynamics 365 Business Central,Medius Sweden,301.0,Medius Capture,77.0,True,22724.02,5.0,8,11,305,1.484502447,2469.0,1124.615384,3.203860334,40.036347,3,3.210675,13872,3329,10/2/2019 7:50,3/1/2019 16:02,"J.Lindeberg is a Swedish clothing company. Their range includes tennis, golf and ski clothing, polo shirts, training clothes, jackets, suits, and shirts."
johbeco,0,Mid-Market,Food Processing,Sporting & Recreational Equipment Retail,Pyramid,Medius Sweden,226.0,Medius Capture,105.0,True,41013.96,1.0,7,2,112,1.606181818,7050.352941,2315.2,3.280669947,11.140417,2,1.498476,10239,1581,11/18/2024 9:00,2/9/2022 8:53,"Bergfalk & Co was founded in 1840 and is a leading Swedish specialist in fresh products with a focus on meat, fish and seafood. The company offers high quality products, primarily to restaurants in Sweden and Finland. as well as to the grocery trade."
joyweek,0,Mid-Market,'-,'-,Visma Business,Medius Sweden,288.0,Medius Capture,105.0,True,54651.77,2.0,9,4,50,1.822229353,11463.53704,6110.153846,4.787226026,20.849309,3,1.663158,74877,2681,12/3/2023 10:28,11/9/2023 11:36,'-
jppol,0,Mid-Market,Broadcast Media,Publishing,Profit Tool / SAP,Medius Denmark,2273.0,Medius Capture,62.0,True,54286.97,2.0,8,28,353,1.532493108,6698.173913,2647.333333,1.004488274,22.69386,3,1.170373,14733,3567,10/8/2024 14:02,5/28/2024 9:25,"JP / Politikens Hus, founded in 2002 and headquartered in Denmark, is an online publisher of news events."
juniper,0,Mid-Market,Hospitals / Health Care,'-,Epicor,Medius Australia,1741.0,'-,41.0,True,47580.42,10.0,8,2,34,1.55834684,3277.625,1749.333333,8.693121189,21.147058,1,1.547244,9254,544,10/3/2024 5:37,5/29/2024 8:19,"Since its inception with a single care home in 1949, Juniper has grown to more than 30 locations across the State and now fields a workforce of more than 1,600 staff supported by 500 volunteers with a turnover approaching $150 million. It operates 14 ret"
jurk,0,Mid-Market,Construction,Commercial & Residential Construction,Visma.net; Visma Administration,Medius Sweden,96.0,Medius Capture,55.0,True,2455.11,1.0,11,4,71,1.44835966,908.388888,354.846153,1.614081408,15.522198,2,1.208665,4402,473,4/7/2020 7:15,11/28/2019 13:27,"Jurk har sitt ursprung i reparation och renovering av rulltrappor, men idag omfattar vårt tjänsteutbud även av svetsteknik och stålmontage."
kabam,0,Mid-Market,Computer Software,"Multimedia, Games & Graphics Software",Oracle NetSuite,Medius North America,375.0,Medius Capture,49.0,True,26769.0,5.0,8,7,62,1.286315789,593.243243,239.777777,2.240879326,19.487068,1,1.117311,1934,696,7/2/2024 16:43,2/21/2024 18:44,"Kabam, a wholly owned subsidiary of Netmarble Games, develops multiplayer games for mobile devices. their headquarters is in San Francisco, California."
kabe,0,Mid-Market,Manufacturing - Non-Durables,Commercial & Residential Construction,Infor M3,Medius Sweden,1016.0,Medius Capture,84.0,True,36054.11,2.0,8,14,110,1.493478806,6462.314814,2956.615384,2.369494912,16.050146,4,1.513994,37461,3410,12/1/2015 12:27,8/19/2015 11:12,Kabe is headquartered in Sweden they manufacture and sell caravans They are a wholly owned subsidiary that produces caravans and motorhomes of the highest quality
kahrs,0,Mid-Market,Other,Home Improvement & Hardware Retail,Infor M3,Medius Sweden,1644.0,Medius Capture,61.0,True,64838.72,4.0,8,11,176,1.358182282,5527.962962,2416.692307,2.188931914,24.245845,7,1.647479,30841,3791,2/7/2022 12:17,8/19/2021 14:23,"KÃ¤hrs Holding AB (publ) manufactures and supplies hardwood and resilient flooring products, and accessories globally. It offers engineered hardwood flooring products, such as multi-layer, 2-layer, and wood veneer flooring, as well as wood flooring acces"
kajogruppen,0,Mid-Market,Retail,Sporting & Recreational Equipment Retail,IBS Enterprise / ASW,Medius Sweden,27.0,Medius Capture,131.0,True,16578.17,1.0,6,9,106,1.545311269,2650.425925,1028.538461,1.0,4.652052,2,0.90794,13178,1437,5/8/2015 14:35,5/4/2015 13:12,"Lnsförskringar Kalmar Ln is a company that operates in the Cosmetics industry. It employs 21-50 people and has $5M-$10M of revenue. The company is headquartered in Kalmar, Sweden."
kalltorpbygg,0,Mid-Market,Construction,'-,Visma.net,Medius Sweden,68.0,Medius Capture,82.0,True,3488.41,1.0,8,2,73,1.294346137,3047.703703,1102.538461,1.505237995,9.292134,3,1.594494,13797,712,1/8/2024 8:46,12/11/2023 10:11,"Klltorps Bygg is a company that operates in the Construction industry. It employs 51-100 people and has $5M-$10M of revenue. The company is headquartered in Gothenburg Vastra, Gotaland County, Sweden."
kamafritid,0,Mid-Market,Travel & Tourism,Lodging & Resorts,Epicor iScala,Medius Sweden,17.0,Medius Capture,81.0,True,12031.38,2.0,8,2,32,1.052238806,856.25,373.307692,3.40244661,5.726483,2,0.641983,4834,691,6/8/2020 7:20,5/11/2020 8:02,"Kama Fritid AB is a company that operates in the Retail industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Askim, Ostfold, Norway."
kamux,0,Mid-Market,Retail,Automobile Dealers,MS Dynamics 365 for Fi&Op,Medius Sweden,233.0,Medius Capture,113.0,True,105787.86,1.0,8,7,249,1.360722965,26565.6,9643.571428,1.254889459,12.581407,4,2.271958,58333,18395,9/30/2024 8:03,10/31/2023 11:30,"Trainings of new Kamux sales personnel continued in our training center in Hmeenlinna. Face-to-face trainings were held with consideration for social distancing and safety. In addition, trainings were arranged in all operating countries via an online por"
kanthal,0,Mid-Market,'-,'-,'-,Medius Sweden,288.0,'-,67.0,False,0.0,2.0,7,15,356,1.716316089,10998.72222,4774.307692,1.939107848,33.670205,7,1.232702,59583,11304,3/6/2023 15:34,1/12/2023 10:59,'-
karasmussen,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,IBS Enterprise / ASW,Medius Norway,60.0,Medius Capture,102.0,True,23010.07,2.0,8,4,57,1.421052632,2522.648148,1309.076923,5.436887437,11.937417,4,1.331447,16307,2269,11/30/2018 13:25,7/13/2018 10:06,"KARasmussen As is a company that operates in the Mining & Metals industry. It employs 51-100 people and has $10M-$25M of revenue. The company is headquartered in Hamar, Hedmark, Norway."
karger,0,Mid-Market,Broadcast Media,Publishing,MS Dynamics 365 Business Central,Medius Benelux,235.0,Medius Capture,80.0,True,15967.24,2.0,7,3,75,1.431372549,589.5,257.846153,1.001547988,28.939351,2,1.134707,3173,709,5/17/2022 8:53,8/10/2021 11:59,"Karger was founded in 1890 and headquartered in Basel, Switzerland, is a globally active medical and scientific publishing company. Independent and family-run company provides information needs of the scientific community with publications of high-qualit"
karl,0,Mid-Market,Retail,Apparel & Accessories Retail,Infor M3,Medius Benelux,264.0,Medius Capture,87.0,True,85493.69,5.0,6,20,156,1.964318223,5848.851851,2179.307692,1.623184589,63.851032,2,2.990057,26080,9539,4/4/2022 13:25,2/15/2022 9:30,"Founded in 1981, Karl Lagerfeld develops, designs, and distributes apparel and accessories. The company offers a range of apparels, watches, eyewear, footwear, bags, and small leather goods for men and women. The company is headquartered in Amsterdam, Ne"
karlshamnenergi,0,Mid-Market,Government,'-,Visma.net,Medius Sweden,2183.0,Medius Capture,93.0,True,2710.97,2.0,10,5,121,1.371014493,1938.24074,867.307692,1.632976827,5.680672,3,1.806455,11265,476,5/2/2018 7:00,1/18/2018 13:13,"Bibliotek & Kultur is a public library. They offer educational books, magazines, publication, research papers, E-books and book loans. The company is based in Karlshamn, Sweden."
kdc,0,Mid-Market,Manufacturing - Non-Durables,"Cosmetics, Beauty Supply & Personal Care Products",SAP,Medius North America,251.0,Medius Capture,20.0,True,183750.0,1.0,6,9,233,1.871367025,9629.314814,4988.76923,1.425792825,33.704864,1,1.916189,60842,8840,11/9/2020 21:50,8/11/2020 1:14,"CHEMAID Laboratories, Inc. is a formulator providing contract manufacturing services to the beauty industry. It offers fragrance products, such as body crme and lotion, shower gel, bath gel, bubble bath, hair, and body wash, after shave gel, after shave"
kdx,0,Mid-Market,Retail,Home Improvement & Hardware Retail,Jeeves,Medius Sweden,114.0,Medius Capture,53.0,True,29874.42,3.0,6,3,94,1.704332553,2570.185185,1099.538461,3.617886179,12.0,2,2.158477,13191,819,5/9/2023 8:26,12/7/2022 9:00,"Kakeldax i Sverige AB är moderbolag för Kakeldaxgruppen. Vi har egna butiker över hela Sverige. Våra varumärken är Stigs Kakel, Kakelcentralen och Kakeldax. Vi är Sveriges största kakelkedja. Med många egenägda butiker spridda från Örnsköldsvik i norr ti"
kendo,0,Mid-Market,Manufacturing - Non-Durables,"Cosmetics, Beauty Supply & Personal Care Products",MS Dynamics AX,Medius North America,404.0,Medius Capture,76.0,True,104901.96,2.0,11,9,639,2.256135935,4354.203703,2007.615384,1.226903208,49.501524,2,2.464597,23042,5246,8/11/2020 18:53,6/8/2020 14:41,"Founded in 2010, Kendo Holdings is a beauty brand development company that offers cosmetics, soaps, and facial products. Kendo Holdings is located in California."
kent,0,Mid-Market,Manufacturing - Non-Durables,Food & Beverage,MS Dynamics AX,Medius North America,2000.0,Medius Capture,91.0,True,178520.04,2.0,8,7,551,2.265725243,16720.94444,8915.307692,3.609921592,22.885729,1,1.917659,104812,31128,5/16/2018 19:26,10/3/2016 14:46,"Kent Corporation is a diversified family owned corporation with operating subsidiaries involved in corn wet milling, the production of animal feeds and the manufacture of food products. Kent Corporation is owned by the Kent Family and led by Gage A. Kent"
keypath,1,Mid-Market,Higher Education,'-,MS Dynamics 365 for Fi&Op,Medius North America,800.0,Medius Capture,52.0,True,34585.44,4.0,9,5,67,1.147342995,998.759259,423.153846,1.0,55.953033,1,0.858741,5237,1022,2/6/2023 16:37,11/3/2022 13:31,"Keypath Education partners with universities to design and deliver career-relevant online programs. Keypath Education services include student recruitment, student placement, program marketing, student retention, market research, and research and program"
keyplants,0,Mid-Market,Professional Services,Research & Development,MS Dynamics 365 for Fi&Op,Medius Sweden,94.0,Medius Capture,70.0,True,17595.63,4.0,8,5,109,2.406407828,1576.722222,591.307692,2.922641012,14.537735,2,1.580973,6982,954,11/9/2023 8:14,6/8/2023 11:13,"KeyPlants was founded in 2010 by former Pharmadule AB management and key personnel. Our team has managed and executed over 100 modular and conventional projects in Sweden and worldwide, for companies such as AstraZeneca, MSD, Eli Lilly, GSK B, Teva, and"
kgh,0,Mid-Market,Financial Services,Banking,Visma Business,Medius Sweden,23.0,Medius Capture,57.0,True,0.0,2.0,7,3,50,2.130769231,220.018867,92.153846,1.245957447,34.607142,5,1.283927,1168,392,5/20/2021 8:36,5/14/2021 5:28,"KGH Border Services is an independent consultancy company within the KGH Group, assisting government agencies all over the world with strategies, tactical planning, reform/modernization projects, education/training, human development and implementation o"
kgkgroup,0,Mid-Market,Retail,'-,Infor M3,Medius Sweden,446.0,ScanCloud,104.0,True,111185.3,1.0,7,33,626,1.396548696,21554.62963,11721.07692,11.67837242,19.272422,3,1.386582,140896,15219,2/27/2021 4:07,9/7/2020 18:22,"KG Knutsson AB is a company that operates in the Automotive industry. It employs 251-500 people and has $100M-$250M of revenue. The company is headquartered in Sollentuna, Stockholm, Sweden."
kgsagg,0,Mid-Market,Manufacturing - Non-Durables,Food & Beverage,MS Dynamics NAV,Medius Sweden,107.0,RSO Bulk,92.0,True,13869.99,1.0,7,4,36,1.135465663,1551.148148,714.846153,1.932819622,3.630731,2,1.07238,9184,807,4/3/2017 7:05,12/1/2016 10:16,"Stjärnägg AB bildades 2002 under devisen Lokala äggleverantörer i samverkan och är idag marknadsledande i Sverige. Bolaget är helsvenskt och ägs av de fyra äggpackeriföretagen KG:s ägg, Thuressons Hönseri, Täljestad Ägg samt Västkustägg. Våra ägg kommer"
kilamobler,0,Mid-Market,Retail,Furniture,'-,Medius Sweden,14.0,Medius Capture,74.0,True,0.0,1.0,8,2,16,1.899253731,436.407407,190.153846,3.358544563,12.1,2,1.192912,2231,150,3/10/2022 6:46,12/21/2021 14:35,"Nr du handlar frn oss kan du alltid rkna med att vra produkter hller hög kvalitet. Vi stller höga krav nr vi vljer ut de leverantörer vi vill jobba med. I vrt stora sortiment med över 18 000 varor kan du hitta allt du behöver, oavsett om du handlar för p"
kiwa,0,Mid-Market,Professional Services,Management Consulting,MS Dynamics 365 for Fi&Op,Medius Benelux,5500.0,Medius Capture,85.0,True,257815.55,1.0,7,49,10018,1.769590554,13385.87037,4823.76923,1.005733569,34.161679,6,1.781319,59370,16174,12/17/2020 14:47,11/16/2020 21:10,"Kiwa is headquartered in Cheltenham, United Kingdom and was founded in 1948. Kiwa provides testing, inspection and certification (TIC). The company has a wide variety of markets segments, ranging from construction and energy supply to drinking water, hea"
kjell,0,Mid-Market,Retail,Consumer Electronics & Computers Retail,MS Dynamics NAV,Medius Sweden,2068.0,Medius Capture,80.0,True,71899.6,2.0,10,7,244,1.387493987,7624.648148,3473.461538,3.664392382,12.343567,3,1.640755,39810,6156,1/16/2019 8:40,3/2/2018 9:39,"Kjell & Company sÃ¤ljer tillbehÃ¶r till datorer, mobiler (iPhone 6, Galaxy S6 m.fl.), surfplattor (iPad m.fl.), nÃ¤tverk, foto, elektronik och ljud & bild."
klindustri,0,Mid-Market,Manufacturing - Non-Durables,Electronics,Infor M3,Medius Sweden,59.0,RSO Bulk,85.0,True,19234.18,2.0,7,2,57,1.152777778,1900.944444,987.384615,2.271045767,32.845588,4,1.568182,12528,952,6/4/2018 11:25,3/23/2018 6:01,Kl Industri Ab - Flexibla Lösningar För Framtidens Elförsörjning is a company that operates in the Electrical/Electronic Manufacturing industry. It employs 51-100 people and has $5M-$10M of revenue. The company is headquartered in Sweden.
kompan,0,Mid-Market,Retail,Sporting & Recreational Equipment Retail,Microsoft Navision,Medius Denmark,53.0,Medius Capture,47.0,True,35340.96,1.0,6,2,202,1.501685123,4245.64,1801.714285,6.153314807,17.873087,1,2.856092,9893,1765,9/23/2024 8:51,3/18/2024 17:23,"KOMPAN tilbyder et bredt sortiment af legepladsudstyr. Dette omfatter bde de helt sm, de mellemstore og de store løsninger eller de individuelle produkter"
kone,0,Enterprise,Manufacturing - Durables,Industrial Machinery & Equipment,SAP,Medius Sweden,63647.0,Medius Capture,21.0,True,295312.5,7.0,7,6,204,2.619376278,2350.470588,859.0,2.497086926,23.688912,3,3.276552,2838,929,11/20/2024 10:19,3/4/2024 11:24,"KONE Oyj, together with its subsidiaries, engages in the elevator and escalator business. It offers elevators, escalators, autowalks, automatic doors, and monitoring and access control systems for residential buildings, office buildings, public transport"
